2026-06-22 08:52:55.337 -05:00 [INF] === Iniciando Mozo API === {"MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-22 08:52:57.674 -05:00 [INF] ==> GET / | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-2460cff274421150cb0fc794fce69aff-640cf1e4a086c9f8-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMGCM87OHSI:00000001","RequestPath":"/","ConnectionId":"0HNMGCM87OHSI","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-22 08:52:57.801 -05:00 [WRN] <== GET / | Status: 404 | Duración: 130ms | Usuario: Anonymous | TraceId: 00-2460cff274421150cb0fc794fce69aff-640cf1e4a086c9f8-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMGCM87OHSI:00000001","RequestPath":"/","ConnectionId":"0HNMGCM87OHSI","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-22 08:52:57.909 -05:00 [INF] ==> GET /favicon.ico | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-5a5cf35b8ea66f4ba475003a019ba9f2-e01031672ae60ea5-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMGCM87OHSI:00000003","RequestPath":"/favicon.ico","ConnectionId":"0HNMGCM87OHSI","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-22 08:52:57.923 -05:00 [WRN] <== GET /favicon.ico | Status: 404 | Duración: 14ms | Usuario: Anonymous | TraceId: 00-5a5cf35b8ea66f4ba475003a019ba9f2-e01031672ae60ea5-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMGCM87OHSI:00000003","RequestPath":"/favicon.ico","ConnectionId":"0HNMGCM87OHSI","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-22 08:54:00.973 -05:00 [INF] ==> OPTIONS /login/permiso | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-6abcb163a4ed2cadae2d12b7c85d37de-395846b8b6b87abc-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMGCM87OHSK:00000001","RequestPath":"/login/permiso","ConnectionId":"0HNMGCM87OHSK","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-22 08:54:00.987 -05:00 [INF] <== OPTIONS /login/permiso | Status: 204 | Duración: 14ms | Usuario: Anonymous | TraceId: 00-6abcb163a4ed2cadae2d12b7c85d37de-395846b8b6b87abc-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMGCM87OHSK:00000001","RequestPath":"/login/permiso","ConnectionId":"0HNMGCM87OHSK","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-22 08:54:00.999 -05:00 [INF] ==> POST /login/permiso | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-d96acdb857e3733ff438811e7be94e7a-8795e4f7967e607b-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMGCM87OHSK:00000003","RequestPath":"/login/permiso","ConnectionId":"0HNMGCM87OHSK","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-22 08:54:01.630 -05:00 [INF] [SECURITY] LOGIN_SUCCESS | Usuario: jabregu | Empresa: 1 | Ingreso: 126 | IP: ::1 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 S {"SourceContext":"Mozo.Api.Login","RequestId":"0HNMGCM87OHSK:00000003","RequestPath":"/login/permiso","ConnectionId":"0HNMGCM87OHSK","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-22 08:54:01.650 -05:00 [INF] <== POST /login/permiso | Status: 200 | Duración: 651ms | Usuario: Anonymous | TraceId: 00-d96acdb857e3733ff438811e7be94e7a-8795e4f7967e607b-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMGCM87OHSK:00000003","RequestPath":"/login/permiso","ConnectionId":"0HNMGCM87OHSK","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-22 08:54:01.658 -05:00 [INF] ==> OPTIONS /login/menu/modulos | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-6f184220976d03ed2709fbcab7735ee8-a1ccab446a771c27-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMGCM87OHSK:00000005","RequestPath":"/login/menu/modulos","ConnectionId":"0HNMGCM87OHSK","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-22 08:54:01.661 -05:00 [INF] <== OPTIONS /login/menu/modulos | Status: 204 | Duración: 3ms | Usuario: Anonymous | TraceId: 00-6f184220976d03ed2709fbcab7735ee8-a1ccab446a771c27-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMGCM87OHSK:00000005","RequestPath":"/login/menu/modulos","ConnectionId":"0HNMGCM87OHSK","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
